emis_variables,met_variables,hour_begin_seq,# of starting poins,MAE_validation,RMSE_validation,Percentage_error_validation,RMSE_test,Date
['ACET'],['PRSFC'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0025349446,0.003378005,0.13699229,0.008319161,2020-11-10 23:10:50
['ACET'],['PRSFC'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0022565678,0.0031129438,0.12624295,0.0048182625,2020-11-15 12:10:14
['ACET'],['PRSFC'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0029931576,0.004011776,0.151906,0.015351525,2020-11-15 12:12:06
"['ACET', 'ACROLEIN']","['PRSFC', 'USTAR']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002449926,0.003245883,0.13163419,0.0069620367,2020-11-15 12:56:33
"['ACET', 'ACROLEIN']","['PRSFC', 'USTAR']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0023113952,0.0028924213,0.10952161,0.007377947,2020-11-15 12:59:23
"['ACET', 'ACROLEIN']","['PRSFC', 'USTAR']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.001966698,0.0025507812,0.09870657,0.0068377154,2020-11-15 13:02:17
"['ACET', 'ACROLEIN']","['PRSFC', 'USTAR']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0015763702,0.002269961,0.0871654,0.0074341334,2020-11-15 13:05:18
"['ACET', 'ACROLEIN']","['PRSFC', 'USTAR']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002454125,0.0033001462,0.13642587,0.00576114,2020-11-15 13:08:15
"['ACET', 'ACROLEIN']","['PRSFC', 'USTAR']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0020605272,0.002820227,0.11844392,0.00741741,2020-11-15 13:11:03
"['ACET', 'ACROLEIN']","['PRSFC', 'USTAR']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0025094051,0.0034586461,0.1356943,0.006257142,2020-11-15 13:13:40
"['ACET', 'ACROLEIN']","['PRSFC', 'USTAR']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.003307085,0.004378662,0.18017021,0.008383649,2020-11-15 13:16:27
"['ACET', 'ACROLEIN']","['PRSFC', 'USTAR']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002271973,0.0029325301,0.11313166,0.008000327,2020-11-15 13:19:09
"['ACET', 'ACROLEIN']","['PRSFC', 'USTAR']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.003436701,0.0040982165,0.16526666,0.010554547,2020-11-15 13:21:49
